,Age,Gender,Country,BTS_Listening_Freq,Daily_Music_Hours,Streaming_Service,Favorite_Song,Anxiety_Level,Depression_Level,Stress_Level,Loneliness_Rating,Sadness_Rating,BTS_Mood_Impact,BTS_Stress_Management,BTS_Mental_Health_Impact,BTS_Impact_Explanation,Themes,ARMY_Membership,ARMY_Fandom_MH_Impact,Health_Talk_with_Friends,Additional_BTS_Impact
22,17,Female,no data,5.0,5,YouTube Music,Idol,5,5,5,5,3,5,Yes,Yes,It helps me from coming out of my depression as long ago I was so depressed and was on verge to end my life but BTS music gives me life and taught me to love myself.,All kinds of,Yes,Good,Yes,I really love them a lot and mainly they are the reason I am living and a lot of things I have learned from them and they are the reason for making be strong and brave enough to handle everything.
23,I’d rather not say,Prefer not to say,I’d rather not say,3.0,3,Apple Music,Spring Day,6,0,5,1,2,5,Yes,Yes,"BTS’ music has helped me to feel a lot more confident in myself, and it also comforts me when I’m having a bad day.","Learning to love yourself, experiencing burnout and looking forward to a brighter future.",Yes,It’s positively impacted my mental health.,Yes,"I find their music deeply comforting and uplifting, and I regularly rely on their songs to help me get through the day."
24,19,Female,United States of America,4.0,5,"Spotify, YouTube Music",Paradise,8,6,7,4,3,4,Yes,Yes,no data,"Loving yourself, taking it easy, and having a dream that doesn't have to be huge (Paradise)",Yes,It feels like I'm not alone. There are others like me who love the same people and get excited for the same thing.,No,no data
25,38,Female,US,4.0,2,Spotify,Black Swan,6,5,4,2,3,4,Yes,No,no data,persistence; consistency,Yes,"I don't really believe it has but I can explain what I mean: I recognize that my mental health issues tend to repeat in cycles throughout my life. Those cycles existed before I found BTS and have continued to exist. I don't think my being a fan of BTS impacts that in any significant way. But having things in my life that I care about is part of what helps me through any of these cycles, and BTS has endured for me as one of those things in a major way.",No,no data
26,16,Non-binary,England,5.0,5,Spotify,Hold Me Tight,7,6,8,1,1,5,Yes,Yes,"I think it has helped me become a better, more socially aware person and (as corny as it sounds), I really do love myself now!","Probably the songs to do with mental health. For example, Intro: Never Mind really speaks to me. Songs with political themes (e.g N.O, Strange (by Agust D), Am I Wrong, Not Today) are quite compelling though.",Yes,"I believe that it has made me a better person, over the years that I have been a fan. I have become a more calm and peaceful person, and have taken after the actions of BTS, which I have viewed through various medias. I have learned how to express my emotions better and with much less embarrassment than before I became a fan, and have become a more caring person. BTS are the light of my life, and I know I can always come back to content such as the RUN BTS variety show, listen to music, or watch their reality series.",No,no data
27,18,Female,Switzerland,5.0,5,Spotify,"I have many favourite songs, my current one is come back to me by RM",5,7,3,2,1,5,Yes,Yes,no data,I honestly listen to any song,Yes,"Before listening to bts i was very depressed, being welcomed into this fandom was everything i needed, i felt so welcomed into becoming an army.",Yes,I feel much more happier ever since i began listening to Bts and being accepted into the fandom
28,26,Female,United States,5.0,4,Apple Music,Spring Day,8,6,8,1,4,5,Yes,Yes,"The music, lyrics, and their voices bring me comfort which relieves my stress/anxiety","Youth, love, friendship, and hard-work",Yes,"Positively, as it helps me connect with like-minded individuals",Yes,I think their music has an impact because the sincerity of the 7 members can be felt when listening to it
29,55,Female,U.S.A.,5.0,1,Spotify,"I can't choose! For a while I had to pump up Anpanman every morning on the way to work to psych myself up, so it has a special place in my heart.",8,7,5,4,4,5,Yes,Yes,Surrounding myself with good messages and energetic music has helped me focus on good things instead of wallowing in negative thinking.,"I am enough, I am worthy, I can keep going no matter what, I can focus on growth not on sadness",Yes,Not really affected by it; I don't do well with people unless I know them well and for a long time.  Sometimes I get stressed out by young ones who may be more biased towards one or another member,Yes,"The last question, I only discuss its impact on my mental health with people who know I listen to them, I don't tell people who don't know I listen to them."
30,52,Female,USA,5.0,2,Spotify,Coffee and Standing Next To You by Jungkook,5,3,4,0,2,5,Yes,Yes,Makes me smile and escape from current realities. Listening to BTS calms me and uplifts my spirit at the same time. Makes me feel like everything will be ok.,"Be true to who you are.- Not necessarily the music but also the way the members interact with fans- they appear really sincere, humble, caring, grateful, and authentic, which is a breath of fresh air for superstars- especially Jung Kook. Watching his live fan interactions is like hanging out with a friend. He symbolizes BTS’s authenticity, humility, and care for their fans.",No,"I am not officially ARMY, but I can say I am a big fan. I started listening to BTS about 5 months ago and have not gone a day without listening to their songs- currently obsessed with JungKook’s album Golden and Jin’s Happy album. The songs from both solo albums feel nostalgic, soulful and joyful! Makes me feel better being a part of this world.",Yes,Amazingly life changing and joyful.
31,38,Female,Canada,5.0,1,Amason Music,Fire,5,3,5,2,2,4,I don't know,Yes,Uplifts my mood. Serves as a distraction from real world stressors.,Resilience. Determination.,Yes,Positively. Helped me make lasting friendships,Yes,-
32,28,Female,Pakistan,5.0,2,Spotify,Dis-Ease,7,4,6,2,1,5,Yes,Yes,"It just uplifts me when I'm feeling down, and BTS has given me something to focus on when I need a distraction",That you don't need to be perfect to love yourself,Yes,"Yes, positively",No,no data
33,14,Female,United States,4.0,2,Spotify,I Need U,3,1,5,1,2,4,Yes,Yes,"I’m not quite sure, but I feel like since I discovered BTS’s music, I started to smile a lot more and feel better about myself. I never used to have a lot of self-esteem, and I think BTS’s music has helped me with that a lot.",no data,Yes,no data,No,no data
34,51,Female,US,5.0,5,YouTube Music,no data,6,6,8,3,3,5,Yes,Yes,Their music makes me feel seen. Helps me understand that I'm not alone in feeling the way I feel or reacting the way I react.,"finding strength, getting up after a setback, wanting success and working for it",Yes,"Positively. Fewer radical shifts, more steady from day to day, also simply happier overall",Yes,"I know their emphasis is for young people, but for me it feels like they speak to all generations. I feel like the hardest thing during youth is the transition into adulthood. But the transition itself is what's hard, and life is full of moments (days, weeks, months long) where we are going through transitions. BTS lyrics help deal with those transitions in healthy ways. Maybe never as challenging as youth, but still ever so hard some days, so I thank God for discovering their message."
35,19,Female,Ukraine,5.0,3,Apple Music,Spring Day,6,7,7,4,3,5,Yes,Yes,"BTS's music improves mental health through themes of self-worth, support during difficulties, and emotional connection, inspiring self-love and overcoming life's challenges.",Self-love,Yes,no data,Yes,no data
36,14,Female,Sweden,5.0,5,"Spotify, YouTube Music",Spine Breaker & Black swan,7,5,4,3,1,5,Yes,Yes,It helps when I'm stressed and makes me less depressed,All,Yes,My mental health has gotten better since I became a ARMY,No,Not really
37,28,Female,Romania,4.0,4,Spotify,Paradise,6,10,8,4,4,5,Yes,Yes,"There is an overwhelming optimism and hopefulness that resonates throughout their entire body of work. They have made me feel comforted, understood, loved.","I love how they openly talk about the different struggles people, especially young people face. I was 21 when I discovered them and I was going through a very vulnerable time. It helped a lot to feel seen.",Yes,"It has at times give me  purpose, to be part of a larger movement, active in voting efforts, streaming efforts, fan projects and so on.",Yes,no data
38,45,Female,United Kingdom,5.0,2,Apple Music,Cypher 3,5,4,5,5,4,3,Yes,I don't know,no data,The sort of standing up for yourself & believing in yourself,Yes,Gives me somewhere to direct my love & loyalty,No,no data
39,19,Female,United States/Austria,5.0,5,Spotify,Spring Day,5,3,7,3,2,4,Yes,Yes,no data,"In their music, BTS always ask that we find our dream and follow it, even if it takes a few tries to do so. They've written about the anxieties and stressors young people face, the grief and joy that come with life itself, the importance of knowing who you are and loving yourself because you're you...all of these are such important messages that alternatively resonate with what I'm going through at any particular moment, or are just what I need to hear at that moment.",Yes,"I'm baby ARMY so I'm still getting used to things lol, it's wonderful to be a small part of such a large community. At the same time, I will say that there has been so much negativity in recent months that it makes it a bit harder to enjoy interacting with fandoms, because it brings more stress! Hasn't changed how I feel about BTS though :)",No,BTS' music makes me feel like I'm not alone :)
40,35,Female,US,5.0,5,"Spotify, Apple Music","can't pick my favorite child, sorry!",9,5,5,3,1,4,Yes,Yes,Musicians sell memories. Music transport me to different times and places,"They don't tell you it's going to be okay. They tell you they've been in a similar place, and assures you you are not alone.",Yes,"For better, but at certain points, for worse, when folks get into drama.",Yes,They've also been instrumental just by showing up- representation matters to mental health
41,33,Non-binary,UK,4.0,2,"YouTube Music, I download MP3s","First Love, Reflection, Paradise, Dis-ease, Sea, Rain, Whalien 52, Baepsae, Persona, Black Swan, UGH, Blue & Grey (I literally can't choose! Ask me on a different day and you'll get a different list!)",6,7,8,4,4,5,Yes,Yes,"I have severe complex trauma, along with other long-term mental health issues. I'm also autistic, which can make life very stressful, exhausting and alienating. For the past 10 years I've been able to connect deeply with the lyrics of many BTS songs, and the way the group members deliver those lyrics with passion and sincerity. While the music can't take away my struggles, listening to it is like having a companion walking with me, a reminder that there are other people in the world (both the people making the music, and other fans who appreciate the music) who understand certain aspects of life in a way I can relate to, and who are struggling alongside me.","Persevering through hardship, finding sparks of hope in the darkness. Accepting and exploring many experiences, emotions and aspects of life; the positive, the negative and the ambiguous. Holding conflicting feelings simultaneously, finding identity in that struggle rather than seeking to simplify yourself. Finding ways to love yourself as an imperfect, evolving, multifaceted person. The importance of wandering and feeling lost. The importance of finding small moments of joy and humour. The importance of connecting with others, even when it's hard.",Yes,"Overall being part of ARMY has had a positive effect on my mental health. There are parts of the fandom which are less positive, and sometimes I've withdrawn from certain spaces and people I didn't enjoy, but overall I've met some incredible people here. I think it's been really important for me to find a way of connecting with many different kinds of people, and keeping myself open to the world. ARMY is one of the most truly diverse groups of people I've encountered, and because of the prejudice many people have about labels like 'boyband' and 'kpop', those who are happy to march over the barriers tend to be particularly open-minded, unpretentious and sincere in a way I'd like to see more of in the world. At our best we can work together to have a really positive impact through charity work and social organising, as well as having interesting conversations, and a lot of fun. Speaking of which, ARMY helps me to lighten up when I can tend to be quite serious. While wider online spaces often tend toward cynical and mean-spirited humour, ARMY creates a safe space for being whimsical and ridiculous within a shared context.",Yes,no data
42,25,Female,United States,5.0,5,Spotify,Fake Love,9,8,10,4,4,5,Yes,Yes,"Between losses in the family, low self esteem for 2+ years, family issues, an extremely toxic work place that has caused a lot of pain/sacrifice and back to back political fears, BTS along with their beautiful messages and songs have been my backbone for the entire year. If I hadn’t gotten into them and K-pop as a whole earlier this year, I’m not sure what I’d be doing right now.","Loving yourself, fighting corruption, standing your ground.",Yes,It has been wonderful to find a loving and fun community to share my love for the band with.,Yes,no data
43,31,Non-binary,USA,5.0,5,Spotify,Life Goes On,6,7,5,4,3,5,Yes,Yes,Listening to nearly any BTS song can instantly improve my day.,"Learning to love yourself, not giving up, being kind to yourself and others",Yes,"Very positively for the most part, I try to avoid fandom wars and solos/antis",Yes,💜 I can't wait to listen to their new works in 2025 and beyond
44,15,Female,no data,3.0,2,Spotify,Fake Love,2,1,3,2,1,4,I don't know,I don't know,no data,"All the themes, depending on my mood I like listening to songs with the same mood so I can fully feel my emotions and understand them.",Yes,Other ARMY's have been nice and friendly and I'm able to talk about the fandom with them as most of my friends are not that much into BTS music.,No,"I love BTS music. I've known them for half my life, hence being a huge part of my life. They are my inspiration, motivation and enhanced my love for music."
45,27,Female,USA,4.0,2,Spotify,Black Swan,5,4,4,2,2,5,no data,Yes,Makes me feel like things will be alright,Self love,Yes,Am just bby army,No,Genuinely when things are bad they make me feel like it will be alright
46,14,Female,North America,5.0,5,"Spotify, YouTube Music",Trivia 轉 : Seesaw & The Untold Truth,3,0,3,1,1,5,Yes,Yes,no data,"Theme in BTS's music resonate with me the most is BE ablum and Love Yourself: Tear ablums since it had more of calm, positive thing which make me feel better when I'm in stress out or lonely state.",Yes,Being part of BTS fandom ARMY is something I never thought I would feel safe since when I met other people in real life by my friend to other friend likes BTS as me made feel safe. I met also so many nice people even online in discord to and it did improve a lot for my mental health since a lot or some of them understand the extract feeling too.,Yes,When I heard BTS for the first time it was Boy with love era and at first time it didn't fully understand. Even at that time I was still trying who i really am and getting pressure my parent little bit since I had bad grades of course it made me stress out until 7 grade I finally started to hear BTS songs and when I went search up what the meaning their music and it made feel more understandble. Finally had someones who wrote something positively way and made feel me less stress out of course I started have good even had good state mind so much. (sorry if it very long for each respond by it way)
47,36,Female,Canada,5.0,2,Spotify,Magic Shop,3,3,3,3,3,4,Yes,Yes,I'm not someone who always needs social contact to feel mentally well. But having kpop content allows me to indulge in that time and feel like I've had socialization without draining my social battery.,The constant battle of trying to fully love yourself.,Yes,no data,Yes,no data
48,31,Female,United States,5.0,5,Spotify,Magic Shop,7,3,5,2,1,4,Yes,Yes,"Many of the songs BTS has created speak about human struggling, but also resilience and hope. They acknowledge that life can be difficult, but that difficulties are often temporary, and that we can come out the other side. We might be changed, but we still made it. When so much music focuses only on positivity, it feels comforting to have music that better reflects the struggles so many of us experience.","Overcoming adversity, learning to love yourself, that being you is enough, that happiness can be found in many forms",Yes,"I found BTS in the midst of the pandemic during lockdown when I was stressed and anxious about getting sick, struggling with being isolated, and worried about what the world would look like in the future. Their music was like a balm through it all, and introduced me to others in the fandom experiencing the same problems. Today I still find the music helps as I deal with chronic pain and anxiety, and just uplifts my mood in general.",Yes,"While it is solo music instead of BTS, I have found that Namjoon's Mono has had a profound impact on my anxiety, particularly Everythingoes - so much so that I got it tattooed as a daily reminder that life keeps going, and to not dwell on present problems and anxieties."
49,21,Female,Philippines,4.0,3,Spotify,Tomorrow,1,0,6,1,1,5,Yes,I don't know,no data,"That as a human being, you’ll have problems but you’ll get through it.",Yes,I have fun with BTS,No,no data
50,17,Female,usa,3.0,1,"Spotify, YouTube Music",fake love,6,2,8,3,3,5,Yes,I don't know,no data,every,Yes,idk but i love them,No,no data
51,39,Male,UK,4.0,2,Spotify,Butter,2,2,2,3,3,5,Yes,Yes,Their songs lift me up,"Resilience, love and respect yourselves and each other",Yes,The community offers the same themes as BTS do with their music,Yes,no data
52,55,Female,UK,5.0,5,YouTube Music,Too many to answer!,7,5,6,4,3,5,Yes,Yes,no data,Love yourself,Yes,Feeling part of something,No,no data
53,23,Male,Malaysia,5.0,4,Spotify,Blood Sweat and Tears,5,2,6,1,3,4,Yes,Yes,"Music often embodies one's soulful desires and problems. In their music I found much of the same struggles and a genuine journey. 
Dance has also played a big part in my mental health and life. Their music don't just speak struggles and life journeys but the dance that is part of the Korean pop music is influential to my identity and hobbies. Which in turn helped me find some identity in myself.","Life, effort, pain, journey, etc...",No,Haven't participated actively in groups like that,No,"The dance part that I've shared in a previous section is something that one shouldn't overlook when it comes to mental health. For through dance one can really find, feel, and understand their identity and emotions. Do not limit that of course just to BTS music or dance choreographies. But BTS being a boy group that has dance involved; played a very big part to my introduction to the dance world. Which now is a very big part of my identity."
54,15,Female,Czech republic,5.0,5,Spotify,We are bulletproof the Eternal,1,2,3,1,2,5,Yes,Yes,I am not as depressed and stressed as before,Searching for who you are,Yes,I am feeling happier and less lonely,No,no data
55,40,Female,United States,4.0,2,"Spotify, Apple Music",Just One Day,6,1,8,2,1,5,Yes,Yes,no data,no data,Yes,no data,Yes,no data
56,17,Female,usa,2.0,1,"Spotify, YouTube Music",fake love,5,1,6,3,3,4,Yes,I don't know,no data,all of them,Yes,idk but it's good,No,no
57,155,Male,Sweden,1.0,3,Tidal and normal YouTube playlists,Film Out,1,0,6,0,1,4,Yes,I don't know,no data,"Depends on my mood. When I wanna study or feeling down, calmer beats and lyrics like ""Pied Piper"" or ""Film Out"". If I just wanna listen to a bit more pump, beat or just more power, ""Fire"", ""Mic Drop"" or ""Dope"" will be played. If I just wanna listen to music, it could be any song.",No,"Does being an ARMY count as enjoying their music or that I have to know every fact and like mega support them? I just enjoy listening to their music, not much else. But usually based on what I've seen, the community is very kind and helpful if you're feeling down, so although I haven't had a bad mental health, but I've seen others in the venting channel and a lot of people support and try to help them.",No,"I do not listen to BTS as much recently, but I do enjoy their music and listen to it from time to time. For my mental health, it usually feels better listening to music while crying, especially as mentioned above when I'm feeling down and want to hear some soft, sad tunes. I do want to note that although the song is a bit sad, it does help me feel better and relax."
58,18 years old,Female,France,5.0,5,"Spotify, YouTube Music, Deezer","Blue & Grey, Magic Shop, 2!3!",8,7,7,4,4,5,Yes,Yes,"Music has always had a great power to prevent me from having anxiety attacks, so listening to BTS helps me a lot to overcome these attacks.",Sad songs or songs like Magic Shop,Yes,"It's a great help because I know that the fandom is one of my favorites, not because I am one, but because I know that ARMY has a good heart like BTS.",Yes,no thank you
59,23,Female,Philippines,5.0,3,Spotify,Lights,7,7,8,4,4,5,Yes,Yes,no data,"Togetherness, Determination",Yes,I met many friends along the way while being an ARMY that I can now call my best friends,Yes,no data
60,24,Male,United States,3.0,4,Apple Music,ON,8,4,5,3,4,5,Yes,Yes,"positivity instead of music about drugs, killing, etc",friendship,Yes,We're all in this together!,No,makes me feel better I love RMs voice as well as Jhope and everyone. Suga has a great low voice as well. Their music makes me feel like a friend is giving me a nice hug
61,17,Male,United States,3.0,3,Spotify,Just One Day - Skool Luv Affair,6,5,7,4,3,5,Yes,Yes,"At low points, examining their music and diving deep into their lyrics, realizing that there's someone out there who is rooting for me has made me feel better on multiple accounts. While listening to the blends of instruments, it takes my mind off current things; due to it being in a different language, I don't have to constantly worry about being judged for listening to ""explict"" music (even though BTS does have some).","Hip-hop, or Pop",Yes,"Having someone to nerd out with about music has been super helpful. I always have a friend in ARMY; when I'm confused about life, or asking for translations after Vlives. It has given me an outlet for all things music and not music.",Yes,"It has opened eyes of others around me. As someone living in the US, Korean music has a much better beat and overall tone. Having so much to listen to as well as read about is what makes me happy."
62,29,Female,Estonia,5.0,5,Spotify,Paradise,7,4,9,3,4,5,Yes,Yes,no data,"Themes of loving yourself, being your best self, not being worried if you mess up or if something goes bad in your life.",Yes,It has made me love myself more and be more self-confident.,No,no data
63,25,Female,India,5.0,4,YouTube Music,Epiphany,4,2,3,5,2,5,Yes,Yes,"It gives me a way to release negative emotions. When I feel anxiety about the future, for example, I give Black Swan a listen, then Shadow, then Ego in that order. Singing along with these songs gives me a way to vocalise my pent up worries, confront them, and finally make my peace with them. Similarly, Answer: Love myself and Epiphany are tracks that reinforce my self-esteem when I feel insecure.","Their message about loving oneself, the themes of ephemeral youth, Suga's works that detail struggles with mental health",No,no data,Yes,I have been following BTS for 7 years now and I believe it has made one of the biggest impacts in my mental well being.
64,16,Female,India,no data,3,Spotify,Butterfly,6,3,8,3,1,5,Yes,I don't know,no data,"Sad,happy",Yes,It's simply AMAZING but I miss them constantly,No,I love bts and I'm grateful they came into my life I love their music's so much
65,22,Female,India,5.0,2,Spotify,Make it right,6,1,7,2,2,5,Yes,Yes,no data,no data,Yes,no data,Yes,no data
66,30,Male,Germany,4.0,3,"Spotify, YouTube Music",Outro: Tear,7,5,7,4,3,5,Yes,Yes,no data,no data,Yes,no data,No,no data
